name,price,rating,link,image_url,search_query,page
,,No rating,https://www.daraz.com.np/products/dell-latitude-i5-11th-generation-8gb-256gb-ssd-14-inch-fhd-display-i1544014801.html,https://img.drz.lazcdn.com/static/np/p/629d46f7c4958e0a9744d2af74705293.jpg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/lenovo-loq-15-83jg007pus-ryzen-7-16gb-ram-512gb-ssd-rtx-5060-156-fhd-144hz-windows-11-high-performance-gaming-laptop-i1543212468.html,https://img.drz.lazcdn.com/static/np/p/0b97f6b9136f36788d7b3fd8f59149a8.jpg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/asus-vivobook-14-x1404-core-5-120u-14th-gen-processor-8gb-ddr4-ram-256gb-nvme-ssd-intel-integrated-graphics-14-fhd-ips-display-magic-numpad-quiet-blue-i1514670743.html,https://img.drz.lazcdn.com/static/np/p/4e7831353c884d84a4dd3869ce6d0d2f.jpg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/acer-swift-neo-14-intel-ultra-5-155u-14th-gen-processor-16gb-ddr5-ram-512gb-nvme-ssd-14-wuxga-1920x1200-oled-display-intel-integrated-graphics-backlit-keyboard-fingerprint-reader-windows-11-home-silver-i1544722570.html,https://img.drz.lazcdn.com/static/np/p/c9f72cb39a2a84ddab22faf1d8ffc863.jpg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/hp-victus-15-fa2021nia-gaming-laptop-i-intel-core-i7-13th-gen-processor-16gb-ram-i-512gb-ssd-i-rtx-3050-6gb-graphics-156-fhd-display-i1523814394.html,https://img.drz.lazcdn.com/static/np/p/64cb4ab02e97657062d02fa7476a77d2.jpg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/dell-inspiron-3530-core-i5-1334u-16gb-ram-512-gb-ssd-156-fhd-backlit-keyboard-finger-print-reader-win-11-1-years-warranty-i511978041.html,https://img.drz.lazcdn.com/static/np/p/73178518c6d49d4def83df6ad26eeeaf.jpg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/dell-inspiron-3501-laptop-intel-core-i5-11th-gen-8gb-ram-256gb-ssd-15-inch-full-hd-display-windows-10-notebook-computer-i108625403.html,https://img.drz.lazcdn.com/g/kf/S62e5e080fab94af7a928b2ab343a68ffP.jpg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/dell-inspiron-15-3510-intel-celeron-n4020-processor-4gb-ram-128gb-ssd-with-156-inch-display-i1545339199.html,https://img.drz.lazcdn.com/static/np/p/0b1c68a0da9be1dbad60da458ccbd578.jpg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/acer-aspire-7-a715-59g-intel-core-i5-13420h-16gb-ram-512gb-nvme-ssd-nvidia-rtx-3050-6gb-graphics-156-fhd-1920x1080-144hz-display-backlit-keyboard-windows-11-home-black-i1544720838.html,https://img.drz.lazcdn.com/static/np/p/ea1d7a4300ccae4e8aabc7453c9f394b.jpg_200x200q80.avif,laptop,1
,,No rating,https://www.daraz.com.np/products/dell-latitude-5420-core-i7-11th-gen-laptop-8gb-ram-256gb-ssd-14-fhd-display-business-laptop-dell-latitude-5420-i7-11th-gen-8gb-ram-256gb-ssd-14-inch-display-slim-portable-laptop-dell-latitude-5420-laptop-intel-core-i7-11th-gen-8gb-ram-i1515828137.html,https://img.drz.lazcdn.com/static/np/p/84169f743bc0a2a16e15c8cbd0cdebe2.jpg_200x200q80.avif,laptop,1
